Nombre Región,2018,2019,2020,2021,2022,2023,2024
Región de Arica y Parinacota,241901.00,247036.00,252110.00,255380.00,257722.00,259802.00,261779.00
Región de Tarapacá,354940.00,368906.00,382773.00,391165.00,396697.00,401588.00,406287.00
Región de Antofagasta,645022.00,668563.00,691854.00,703746.00,709637.00,714142.00,718232.00
Región de Atacama,307835.00,311307.00,314709.00,316737.00,318004.00,319048.00,319992.00
Región de Coquimbo,807213.00,821726.00,836096.00,848079.00,858769.00,869103.00,879267.00
Región de Valparaíso,1910385.00,1935455.00,1960170.00,1979373.00,1995538.00,2010849.00,2025693.00
Región Metropolitana,7702891.00,7915199.00,8125072.00,8242459.00,8310984.00,8367790.00,8420729.00
Región del Libertador General Bernardo O'Higgins,966486.00,978868.00,991063.00,1000959.00,1009552.00,1017701.00,1025586.00
Región del Maule,1105731.00,1118947.00,1131939.00,1143012.00,1153043.00,1162641.00,1171982.00
Región del Biobío,1645460.00,1654744.00,1663696.00,1670590.00,1676269.00,1681430.00,1686225.00
Región de Ñuble,504248.00,507959.00,511551.00,514508.00,517060.00,519437.00,521711.00
Región de La Araucanía,1001420.00,1007965.00,1014343.00,1019548.00,1024029.00,1028201.00,1032164.00
Región de Los Ríos,400935.00,403413.00,405835.00,407818.00,409559.00,411205.00,412786.00
Región de Los Lagos,877348.00,884464.00,891440.00,897303.00,902510.00,907429.00,912171.00
Región de Aysén del General Carlos Ibañez del Campo,106023.00,106680.00,107297.00,107737.00,108047.00,108306.00,108538.00
Región de Magallanes y la Antártica Chilena,173567.00,175984.00,178362.00,179949.00,181143.00,182217.00,183235.00
